district,market_name,crop_type,date,season,modal_price,min_price,max_price,price_prev_day,avg_price_7d,avg_price_30d,quantity_arrived_kg,weather_event,transport_strike,import_arrival
Kollam,Kottarakkara,Onion,2025-03-15,Rabi,39.2,35.86,42.75,39.54,40.02,40.1,9680,Drought,0,0
Thrissur,Chalakudy,Paddy,2025-03-16,Rabi,21.05,18.93,23.33,21.8,23.18,21.96,18459,None,0,0
Kozhikode,Vadakara,Paddy,2025-03-17,Rabi,19.47,16.85,21.98,20.78,21.28,23.19,9575,Flood,1,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-03-18,Rabi,38.32,35.74,41.2,37.42,36.81,39.47,9722,Flood,0,1
Malappuram,Tirur,Paddy,2025-03-19,Rabi,21.3,18.29,23.72,21.81,23.81,21.95,10269,Flood,0,0
Thrissur,Chalakudy,Banana,2025-03-20,Rabi,32.2,30.18,34.69,32.94,32.02,35.83,15538,Flood,0,0
Thrissur,Chalakudy,Tomato,2025-03-21,Rabi,29.06,25.75,32.61,26.49,32.03,29.89,15713,Rain,0,0
Kozhikode,Vadakara,Paddy,2025-03-22,Rabi,8.91,5.07,11.29,8.01,21.01,21.05,10649,Drought,0,0
Kollam,Kottarakkara,Tomato,2025-03-23,Rabi,31.25,27.83,34.5,29.65,29.79,30.12,13543,Drought,0,0
Thrissur,Chalakudy,Paddy,2025-03-24,Rabi,22.42,20.37,25.74,20.73,18.7,22.28,12996,Drought,0,0
Ernakulam,Perumbavoor,Banana,2025-03-25,Rabi,32.5,29.72,34.78,34.83,34.17,35.18,12202,Rain,0,0
Thrissur,Chalakudy,Tomato,2025-03-26,Rabi,34.12,31.99,36.36,36.75,29.63,30.97,13936,Flood,0,1
Ernakulam,Perumbavoor,Banana,2025-03-27,Rabi,36.74,33.63,38.88,35.29,35.03,35.06,6723,Rain,0,0
Thrissur,Chalakudy,Banana,2025-03-28,Rabi,31.63,27.96,34.52,28.57,33.6,34.72,16507,Drought,0,0
Kollam,Kottarakkara,Paddy,2025-03-29,Rabi,21.15,17.19,24.32,23.59,18.93,19.3,11833,Rain,0,0
Kollam,Kottarakkara,Paddy,2025-03-30,Rabi,21.77,19.43,24.56,21.72,17.9,20.91,8086,Drought,0,0
Malappuram,Tirur,Tomato,2025-03-31,Rabi,31.34,28.69,33.51,31.89,28.59,29.49,8822,Rain,0,1
Thiruvananthapuram,Neyyattinkara,Tomato,2025-04-01,Rabi,29.87,26.34,32.6,31.3,28.52,30.5,10409,Drought,0,1
Kozhikode,Vadakara,Paddy,2025-04-02,Rabi,19.41,15.45,22.24,19.25,19.45,20.45,8406,Rain,0,0
Thrissur,Chalakudy,Paddy,2025-04-03,Rabi,24.93,21.98,27.26,24.98,19.95,21.21,11663,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-04-04,Rabi,33.56,30.99,35.63,34.48,35.14,33.47,10272,Flood,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-04-05,Rabi,29.45,25.56,33.19,26.0,27.73,31.37,16934,Flood,1,0
Kozhikode,Vadakara,Paddy,2025-04-06,Rabi,20.5,18.5,24.19,21.36,21.47,24.08,15358,Drought,0,0
Thrissur,Chalakudy,Onion,2025-04-07,Rabi,39.74,37.66,42.01,38.31,37.59,40.2,9730,Flood,1,0
Kozhikode,Vadakara,Banana,2025-04-08,Rabi,31.16,28.77,34.68,30.19,32.38,35.69,14644,Rain,0,0
Palakkad,Alathur,Onion,2025-04-09,Rabi,39.98,36.85,42.45,42.2,40.12,39.14,16569,Flood,1,1
Thiruvananthapuram,Neyyattinkara,Paddy,2025-04-10,Rabi,22.08,19.8,25.05,20.52,20.71,20.12,7851,Flood,1,0
Kollam,Kottarakkara,Banana,2025-04-11,Rabi,21.51,18.17,24.37,24.37,31.9,34.56,10048,Drought,0,0
Thrissur,Chalakudy,Onion,2025-04-12,Rabi,39.03,36.67,42.39,38.14,38.7,40.05,9507,Rain,0,1
Thiruvananthapuram,Neyyattinkara,Tomato,2025-04-13,Rabi,30.54,27.64,33.13,30.46,29.64,29.09,10269,Rain,0,1
Thiruvananthapuram,Neyyattinkara,Onion,2025-04-14,Rabi,41.51,38.37,44.47,42.26,38.53,40.1,14254,Flood,0,1
Thiruvananthapuram,Neyyattinkara,Banana,2025-04-15,Rabi,30.66,28.09,32.94,31.48,33.01,34.57,9710,None,0,0
Palakkad,Alathur,Paddy,2025-04-16,Rabi,17.39,13.43,20.94,14.95,21.07,21.26,9287,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-04-17,Rabi,35.28,31.31,37.59,32.79,33.9,32.79,10044,Rain,0,0
Kozhikode,Vadakara,Onion,2025-04-18,Rabi,40.09,36.12,42.74,38.8,39.42,41.01,10269,Flood,1,0
Kollam,Kottarakkara,Onion,2025-04-19,Rabi,41.67,38.43,45.26,39.98,40.79,41.44,4585,Rain,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-04-20,Rabi,32.41,28.63,35.66,33.28,33.7,34.37,10188,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-04-21,Rabi,21.17,17.26,23.4,20.94,22.75,21.25,13012,Flood,1,0
Palakkad,Alathur,Paddy,2025-04-22,Rabi,20.18,17.64,23.42,19.45,20.35,21.39,10737,None,0,0
Kollam,Kottarakkara,Onion,2025-04-23,Rabi,40.58,37.5,43.11,43.69,41.31,39.67,15603,Drought,0,0
Kozhikode,Vadakara,Paddy,2025-04-24,Rabi,20.18,16.48,22.87,17.12,19.49,19.13,10945,Flood,0,0
Ernakulam,Perumbavoor,Banana,2025-04-25,Rabi,34.04,31.84,36.61,36.55,34.49,33.78,14488,Drought,0,0
Ernakulam,Perumbavoor,Paddy,2025-04-26,Rabi,16.58,13.78,18.65,16.93,22.16,19.52,15431,Flood,1,0
Thrissur,Chalakudy,Paddy,2025-04-27,Rabi,21.68,18.77,24.37,21.06,21.95,23.27,12545,Rain,0,0
Kozhikode,Vadakara,Paddy,2025-04-28,Rabi,21.5,18.28,24.36,20.81,19.73,21.83,9431,None,0,0
Palakkad,Alathur,Paddy,2025-04-29,Rabi,21.14,17.97,23.77,20.42,21.72,21.33,15112,Drought,0,0
Thrissur,Chalakudy,Paddy,2025-04-30,Rabi,19.98,17.23,23.36,19.58,19.53,20.56,13131,Drought,0,0
Malappuram,Tirur,Paddy,2025-05-01,Rabi,11.26,7.46,13.28,9.88,22.3,22.36,13240,Drought,0,0
Kozhikode,Vadakara,Tomato,2025-05-02,Rabi,33.75,31.09,36.98,32.59,28.13,28.22,16488,Flood,1,1
Malappuram,Tirur,Onion,2025-05-03,Rabi,41.31,38.82,43.77,41.23,40.42,38.87,19337,Drought,0,0
Malappuram,Tirur,Tomato,2025-05-04,Rabi,30.26,26.3,33.89,30.42,31.09,30.48,12671,Rain,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-05-05,Rabi,28.42,26.01,31.18,29.13,32.82,31.35,16779,None,0,0
Ernakulam,Perumbavoor,Tomato,2025-05-06,Rabi,28.98,26.34,32.59,27.5,29.81,30.06,15282,Rain,0,0
Kollam,Kottarakkara,Onion,2025-05-07,Rabi,36.62,34.33,40.34,38.91,39.76,39.57,8963,Rain,0,0
Kozhikode,Vadakara,Tomato,2025-05-08,Rabi,26.69,23.49,29.24,27.92,30.11,28.71,8114,Flood,0,0
Ernakulam,Perumbavoor,Onion,2025-05-09,Rabi,39.33,35.74,42.13,41.83,39.61,38.5,11262,Drought,0,0
Ernakulam,Perumbavoor,Onion,2025-05-10,Rabi,39.45,36.15,43.4,35.4,39.92,39.77,14088,None,0,1
Kollam,Kottarakkara,Tomato,2025-05-11,Rabi,33.7,30.68,36.9,35.39,29.6,28.89,19720,None,0,1
Palakkad,Alathur,Banana,2025-05-12,Rabi,34.12,30.61,36.54,34.14,33.96,34.2,11566,Flood,0,0
Malappuram,Tirur,Banana,2025-05-13,Rabi,32.85,30.46,36.64,32.03,33.95,33.46,9861,Drought,0,0
Kollam,Kottarakkara,Paddy,2025-05-14,Rabi,21.21,17.84,23.31,20.83,23.26,18.35,15274,Rain,0,0
Thrissur,Chalakudy,Paddy,2025-05-15,Rabi,23.49,20.15,25.55,20.38,20.49,20.63,7777,None,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-05-16,Rabi,28.44,25.05,30.56,26.77,32.63,30.94,15814,Flood,0,1
Palakkad,Alathur,Banana,2025-05-17,Rabi,35.44,32.13,37.5,33.75,33.21,34.49,8333,None,0,0
Kozhikode,Vadakara,Paddy,2025-05-18,Rabi,22.43,18.88,26.16,22.07,20.44,21.71,13332,None,0,0
Thrissur,Chalakudy,Banana,2025-05-19,Rabi,33.28,30.48,36.71,35.02,32.38,34.62,13779,Rain,0,0
Kollam,Kottarakkara,Onion,2025-05-20,Rabi,39.38,37.11,41.57,39.87,38.12,40.92,11445,Drought,0,0
Ernakulam,Perumbavoor,Banana,2025-05-21,Rabi,32.95,30.84,35.64,34.52,32.94,32.59,7330,None,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-05-22,Rabi,41.21,37.42,44.88,39.29,42.63,37.92,17089,None,0,1
Palakkad,Alathur,Banana,2025-05-23,Rabi,34.42,31.23,37.0,34.27,33.18,34.4,11887,None,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-05-24,Rabi,42.21,39.43,45.25,42.38,40.23,39.64,11829,None,0,0
Malappuram,Tirur,Banana,2025-05-25,Rabi,34.62,31.64,36.75,32.05,31.98,34.74,12512,Flood,1,0
Palakkad,Alathur,Paddy,2025-05-26,Rabi,20.63,18.59,24.38,20.66,21.52,20.46,9665,Rain,0,0
Malappuram,Tirur,Onion,2025-05-27,Rabi,40.39,37.81,44.03,38.92,40.61,38.3,15087,Rain,0,1
Ernakulam,Perumbavoor,Banana,2025-05-28,Rabi,34.95,31.54,37.07,35.33,35.47,35.67,15043,None,0,0
Malappuram,Tirur,Paddy,2025-05-29,Rabi,17.32,14.22,20.45,15.4,20.06,21.03,13552,Rain,0,0
Palakkad,Alathur,Onion,2025-05-30,Rabi,38.55,36.47,40.65,38.83,38.87,39.39,7780,Drought,0,1
Malappuram,Tirur,Banana,2025-05-31,Rabi,32.15,29.45,35.87,30.12,32.54,35.05,9151,None,0,0
Ernakulam,Perumbavoor,Tomato,2025-06-01,Rabi,17.63,15.32,21.43,18.37,30.28,29.14,14100,Flood,0,0
Kollam,Kottarakkara,Onion,2025-06-02,Rabi,38.85,35.02,41.11,39.03,43.84,39.9,15447,Flood,0,1
Palakkad,Alathur,Tomato,2025-06-03,Rabi,28.59,26.59,31.56,28.54,32.66,29.37,17437,Rain,0,0
Palakkad,Alathur,Banana,2025-06-04,Rabi,35.42,32.45,37.63,34.58,34.95,34.97,13865,Flood,1,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-06-05,Rabi,17.86,14.65,21.73,16.77,20.63,20.93,13862,Flood,0,0
Kozhikode,Vadakara,Onion,2025-06-06,Rabi,40.36,36.72,43.17,38.36,40.57,40.61,13679,Drought,0,1
Malappuram,Tirur,Paddy,2025-06-07,Rabi,23.16,19.8,26.81,24.41,21.69,20.93,7017,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-06-08,Rabi,21.86,19.06,23.96,22.17,21.41,19.72,8756,Drought,0,0
Kollam,Kottarakkara,Paddy,2025-06-09,Rabi,39.28,37.07,42.3,39.22,22.02,21.03,12089,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-06-10,Rabi,22.88,19.62,25.29,22.11,21.14,20.54,10696,None,0,0
Kozhikode,Vadakara,Tomato,2025-06-11,Rabi,29.38,25.44,32.16,29.71,29.28,31.26,9316,Flood,0,0
Malappuram,Tirur,Tomato,2025-06-12,Rabi,29.63,26.12,33.05,28.97,32.17,30.2,15095,None,0,1
Ernakulam,Perumbavoor,Paddy,2025-06-13,Rabi,18.03,15.32,20.73,18.43,22.33,21.08,15196,None,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-06-14,Rabi,32.97,30.45,35.68,35.08,37.45,33.64,10663,Flood,0,0
Kozhikode,Vadakara,Tomato,2025-06-15,Rabi,32.91,29.3,35.29,35.28,29.22,29.58,11154,Flood,1,0
Kollam,Kottarakkara,Tomato,2025-06-16,Rabi,27.31,24.88,31.17,25.93,28.49,29.23,11895,None,0,0
Thrissur,Chalakudy,Banana,2025-06-17,Rabi,34.47,32.17,37.97,36.8,32.5,34.98,11358,None,0,0
Palakkad,Alathur,Onion,2025-06-18,Rabi,39.9,37.14,43.85,40.91,38.32,40.38,12499,Flood,1,1
Kollam,Kottarakkara,Tomato,2025-06-19,Rabi,30.98,28.79,34.07,31.41,33.68,29.36,10407,Drought,0,0
Thrissur,Chalakudy,Onion,2025-06-20,Rabi,38.75,35.56,41.09,37.92,39.04,41.19,16261,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-06-21,Rabi,32.86,29.69,35.66,31.61,34.71,33.45,13898,Drought,0,0
Palakkad,Alathur,Tomato,2025-06-22,Rabi,30.41,27.55,33.85,28.14,32.32,31.8,10161,Rain,0,0
Ernakulam,Perumbavoor,Tomato,2025-06-23,Rabi,29.22,25.91,31.48,29.65,30.5,30.66,18030,Drought,0,1
Malappuram,Tirur,Onion,2025-06-24,Rabi,23.79,21.01,27.62,22.59,37.93,39.27,11900,Flood,1,0
Thrissur,Chalakudy,Onion,2025-06-25,Rabi,43.59,39.62,45.74,42.81,40.34,39.98,15565,Drought,0,0
Ernakulam,Perumbavoor,Onion,2025-06-26,Rabi,45.05,41.97,48.23,44.25,39.27,41.04,14045,Flood,0,1
Malappuram,Tirur,Tomato,2025-06-27,Rabi,33.69,30.98,35.87,34.57,29.46,30.59,15326,None,0,0
Thrissur,Chalakudy,Onion,2025-06-28,Rabi,41.64,38.7,44.56,42.4,41.6,41.17,16146,None,0,1
Ernakulam,Perumbavoor,Onion,2025-06-29,Rabi,41.3,37.67,43.52,41.05,40.22,41.21,9549,Flood,1,1
Ernakulam,Perumbavoor,Tomato,2025-06-30,Rabi,30.74,27.32,33.18,30.15,30.04,31.28,12573,Drought,0,0
Thrissur,Chalakudy,Banana,2025-07-01,Rabi,34.09,30.82,37.9,32.05,35.12,34.65,18489,Drought,0,0
Ernakulam,Perumbavoor,Paddy,2025-07-02,Rabi,20.38,16.69,24.16,20.71,21.37,22.58,11714,Rain,0,0
Thrissur,Chalakudy,Onion,2025-07-03,Rabi,40.56,36.61,43.98,41.47,40.28,39.55,12582,Drought,0,0
Thrissur,Chalakudy,Banana,2025-07-04,Rabi,36.15,33.03,39.44,34.61,34.2,33.3,15585,Flood,0,0
Malappuram,Tirur,Onion,2025-07-05,Rabi,36.95,33.69,40.74,36.11,40.57,41.57,11802,Flood,1,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-07-06,Rabi,19.89,16.12,22.21,22.71,18.83,18.8,13320,Drought,0,0
Kozhikode,Vadakara,Tomato,2025-07-07,Rabi,29.0,26.45,31.59,27.47,31.06,30.24,10307,Flood,1,1
Palakkad,Alathur,Banana,2025-07-08,Rabi,31.44,29.04,33.59,32.75,34.98,33.9,17539,Flood,0,0
Ernakulam,Perumbavoor,Tomato,2025-07-09,Rabi,27.86,24.26,30.47,25.57,28.96,29.95,12730,Drought,0,0
Malappuram,Tirur,Onion,2025-07-10,Rabi,39.52,37.35,42.35,40.05,38.12,41.44,11753,None,0,0
Malappuram,Tirur,Tomato,2025-07-11,Rabi,32.23,28.3,36.02,32.74,30.69,30.57,13343,Drought,0,1
Malappuram,Tirur,Onion,2025-07-12,Rabi,41.29,38.42,45.15,43.28,40.29,40.71,11730,Rain,0,0
Palakkad,Alathur,Paddy,2025-07-13,Rabi,23.88,20.63,27.5,22.87,23.7,20.96,7707,Rain,0,0
Kollam,Kottarakkara,Banana,2025-07-14,Rabi,34.26,30.48,37.45,33.24,35.26,33.35,10661,Rain,0,0
Palakkad,Alathur,Paddy,2025-07-15,Rabi,17.22,13.32,20.6,16.54,17.36,19.42,14281,Drought,0,0
Ernakulam,Perumbavoor,Banana,2025-07-16,Rabi,35.57,32.93,39.55,36.21,32.55,33.95,11989,Rain,0,0
Palakkad,Alathur,Banana,2025-07-17,Rabi,31.68,28.78,34.22,33.94,35.32,33.78,12080,Drought,0,0
Kozhikode,Vadakara,Banana,2025-07-18,Rabi,34.42,30.64,36.64,31.36,33.63,33.32,8995,None,0,0
Malappuram,Tirur,Banana,2025-07-19,Rabi,33.44,30.3,37.34,36.14,34.96,33.43,13717,Flood,1,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-07-20,Rabi,42.8,40.34,46.79,44.19,40.09,39.35,14094,None,0,1
Malappuram,Tirur,Banana,2025-07-21,Rabi,34.79,31.28,37.95,36.13,34.95,35.05,10394,Flood,0,0
Kollam,Kottarakkara,Paddy,2025-07-22,Rabi,23.63,21.54,26.38,23.93,24.11,20.31,17207,Drought,0,0
Kozhikode,Vadakara,Tomato,2025-07-23,Rabi,30.4,26.47,34.07,29.42,29.27,29.68,13272,Rain,0,0
Palakkad,Alathur,Tomato,2025-07-24,Rabi,31.05,28.6,34.92,30.19,29.96,32.14,17182,Flood,1,1
Ernakulam,Perumbavoor,Paddy,2025-07-25,Rabi,21.87,19.24,25.29,21.93,21.18,21.61,8931,Flood,0,0
Kozhikode,Vadakara,Onion,2025-07-26,Rabi,39.49,36.04,43.35,36.99,40.6,40.65,10550,Rain,0,0
Palakkad,Alathur,Onion,2025-07-27,Rabi,43.15,41.1,45.7,41.31,37.8,40.22,15141,None,0,0
Palakkad,Alathur,Paddy,2025-07-28,Rabi,24.37,21.38,27.21,23.68,22.62,20.96,11482,Rain,0,0
Palakkad,Alathur,Paddy,2025-07-29,Rabi,22.77,19.43,25.33,23.75,18.64,22.48,16140,Drought,0,0
Kollam,Kottarakkara,Tomato,2025-07-30,Rabi,28.75,25.15,31.65,29.34,30.74,30.26,10349,None,0,0
Kozhikode,Vadakara,Onion,2025-07-31,Rabi,38.66,35.95,42.31,38.62,41.76,40.54,10888,None,0,0
Palakkad,Alathur,Paddy,2025-08-01,Rabi,22.54,19.91,24.88,18.27,22.72,19.26,10912,Flood,1,0
